original_story,reordered_story,reason
"Matthew and his friend pressed the neighbor's doorbell | After the door bell sound went off, the neighbor opened the door | He didn't see anyone since the boys were hiding | After a second attempt, the neighbor noticed them | He took one of hit bats and tried to scare Matthew","Matthew and his friend pressed the doorbell | After the door bell sound went off, the neighbor opened the door | He didn't see anyone since the boys were hiding | He took one of hit bats and tried to scare Matthew | After a second attempt, the neighbor noticed them",not a permutation of any gold story
Christina had finally agreed to be step up on a blind date | She arrived at the bar fifteen minutes early and sat down | She hoped this guy was as great as her yoga friend had promised | She was told he'd be wearing a red shirt and began glancing around | Her jaw dropped as she noticed her cousin standing at the door,Christina had finally agreed to be set up on a blind date | She arrived at the bar fifteen minutes early and sat down | She was told he'd be wearing a red shirt and began glancing around | Her jaw dropped as she noticed her cousin standing at the door | She hoped this guy was as great as her yoga friend had promised,not a permutation of any gold story
Peter bought a chocolate candy bar at the grocery store | He forgot it in his truck on a hot day while he was at work | When he returned to his truck he found the melted chocolate | It hand burst the package and melted into his air vents | Peter's car smelled like chocolate for a while afterwards,Peter bought a chocolate candy bar at the grocery store | He forgot it in his truck on a hot day while he was at work | When he returned to his truck he found the melted chocolate | It had burst the package and melted into his air vents | Peter's car smelled like chocolate for a while afterwards,not a permutation of any gold story
Tom was enemies with another student | They always fought during recess | One day the fight was exhausting for both of them | The looked at each other and laughed | They decided it was worth it to fight ever again,Tom was enemies with another student | They always fought during recess | They looked at each other and laughed | One day the fight was exhausting for both of them | They decided it was worth it to fight ever again,not a permutation of any gold story
Hannah went shopping | She needed hot dog buns for the party | She came to the cashier | She found out she had forgotten her wallet | She had to go back home,She needed hot dog buns for the party | She went shopping | She came to the cashier | She found out she had forgotten her wallet | She had to go back home,not a permutation of any gold story
Carlos needed a job | So his cousin got him a job as a sew chief at a restaurant | Carlos everyday worked hard on being a better cook | Eventually the main chef got fired | Carlos became such a good cook he became the main chef,Carlos needed a job | So his cousin got him a job as a chef at a restaurant | Carlos everyday worked hard on being a better cook | Carlos became such a good cook he became the main chef | Eventually the main chef got fired,not a permutation of any gold story
"Alex ordered a new mirror | When it arrived it was the perfect size | Before she could hang it, she dropped it | It shattered into a million pieces | Alex is now going to have bad luck","Alex ordered a new mirror | It arrived it was the perfect size | Before she could hang it, she dropped it | It shattered into a million pieces | Alex is now going to have bad luck",not a permutation of any gold story
Joyce was known for her lasagna recipe | She liked to add fresh basil to it | She made two batches and the guests ate them both | They loved the melty cheese and the spicy sausage | All the guests asked for her recipe when the left,She made two batches and the guests ate them both | She liked to add fresh basil to it | They loved the melty cheese and the spicy sausage | All the guests asked for her recipe when they left | Joyce was known for her lasagna recipe,not a permutation of any gold story
Donna's grandson was a teenager | She didn't know what to get him for his birthday | He was too old for toys and games | He didn't like the clothes she bought him | Donna gave her grandson cash,Donna's grandson was a teenager | He was too old for toys and games | She didn't know what to get him for his birthday | She bought him clothes | He didn't like the clothes she bought him | Donna gave her grandson cash,wrong sentence count
Joey's mom called him for lunch | He kept playing his video game | About an hour later he want downstairs to a bowl of cold soup | He complained to his mother | She told him if he had come when she called it world be hot soup,He complained to his mother | She told him if he had come when she called it would be hot soup | Joey's mom called him for lunch | He kept playing his video game | About an hour later he went downstairs to a bowl of cold soup,not a permutation of any gold story
I was standing outside of my house | And I saw a man on a bicycle | He was going up and down the sidewalk | And he decided to go to my neighbor's porch | I was confused when I saw him carry away one of their garbage bags,I was standing outside of my house | I saw a man on a bicycle | He was going up and down the sidewalk | And he decided to go to my neighbor's porch | And I saw him carry away one of their garbage bags,not a permutation of any gold story
An owner of a pizza shop became friends with the owner of a taco shop | They gave each other advertisements to display in the other's shop | The next week they both had more customers than usual | The pizza shop owner asked customers where he heard of his shop | They told him that they saw an ad in the taco shop,An owner of a pizza shop became friends with the owner of a taco shop | They gave each other advertisements to display in the other's shop | They told him that they saw an ad in the taco shop | The next week they both had more customers than usual,wrong sentence count
At midnight on Maple Street a man was murdered | His body was found in the middle of the street | The police searched for the murderer | Finally they figured out who it was | They arrested the murdered,At midnight on Maple Street a man was murdered | His body was found in the middle of the street | The police searched for the murderer | Finally they figured out who it was | They arrested the murderer,not a permutation of any gold story
"Tim wanted to lose weight | So he decided to go jogging | He jogged on the sidewalk, along a busy street | He smelled jog but continued for another half hour | When Time arrived back home, his lungs welt weak","Tim wanted to lose weight | So he decided to go jogging | He jogged on the sidewalk, along a busy street | He smelled jog but continued for another half hour | When Time arrived back home, his lungs felt weak",not a permutation of any gold story
Our coach the guys not to peek in the other side | You could see the girls in the shower then | We handed a hose to each other | There was a tent set up | We needed a way to take a shower,There was a tent set up | We needed a way to take a shower | We handed a hose to each other | Our coach told the guys not to peek in the other side | You could see the girls in the shower then,not a permutation of any gold story
Shane loved playing darts | He was good even though he only had one eye | Every Friday he would hustle and make money | One guy got so made he took out Shane's other eye | Now Shane makes even more money as a blind dart player,Shane loved playing darts | He was good even though he only had one eye | Every Friday he would hustle and make money | One guy got so mad he took out Shane's other eye | Now Shane makes even more money as a blind dart player,not a permutation of any gold story
A man organized a lottery pool at his work | He received  $500 to buy tickets | The man just took the money and didn't but any | The day of the drawing he told everyone that they lost | He told them next time they would win,A man organized a lottery pool at his work | He received  $500 to buy tickets | The man just took the money and didn't buy any | The day of the drawing he told everyone that they lost | He told them next time they would win,not a permutation of any gold story
Bob made plans to go to the apple orchard to pick apples | The local farm near his house allowed you to pick your own apples | Bob got up early the next morning and drove out the the farm | He made the mistake of wearing his brand new white tennis shoes | He accidentally stepped on a bad apple which ruined his new shoes,Bob made plans to go to the apple orchard to pick apples | The local farm near his house allowed you to pick your own apples | He made the mistake of wearing his brand new white tennis shoes | Bob got up early the next morning and drove out to the farm | He accidentally stepped on a bad apple which ruined his new shoes,not a permutation of any gold story
"Gary wanted to have an exciting adventure | Gary saw an ad for jumping out of a plane in a restaurant | Gary called the company and immediately set up an appointment to jump | While nervous, Gary knew this was going to be an adventure | Gary could not wait for the day he got to jump out of a plane",Gary saw an ad for jumping out of a plane in a restaurant | Gary wanted to have an exciting adventure | Gary knew this was going to be an adventure | Gary called the company and immediately set up an appointment to jump | Gary could not wait for the day he got to jump out of a plane,not a permutation of any gold story
Tom was new on campus | Tom's freshman college courses were very demanding | Tom avoided parties | Tom worked hard on is classwork | Tom made honor role his very first semester!,Tom was new on campus | Tom's freshman college courses were very demanding | Tom avoided parties | Tom worked hard on his classwork | Tom made honor role his very first semester!,not a permutation of any gold story
"The couple had never driven cross-country | They set out on a Sunday and planned to travel for a month | The drive got very boring after a few days | Instead of continuing on, they decided to give up and turn back | THey were happy to be back in their own home","The couple had never driven cross-country | They set out on a Sunday and planned to travel for a month | The drive got very boring after a few days | Instead of continuing on, they decided to give up and turn back | They were happy to be back in their own home",not a permutation of any gold story
Rachel was walking to her car | She saw a shadow moving behind her | She turned around and saw a man | Rachel was scared of him | She ran to the car and locked the door,Rachel was walking to her car | She saw a shadow moving behind her | She turned around and saw a man | She ran to the car and locked the door | She was scared of him,not a permutation of any gold story
"My husband got a flyer, stating he could lower his car payment | The letter said he could get a new car  if he turned in his old one | We went to the dealership and wanted to know what the catch was | The car salesman said, no problem, just put $5000 down on the new one | We laughed and left, no way were were putting that much down on a car","My husband got a flyer, stating he could lower his car payment | The letter said he could get a new car  if he turned in his old one | We went to the dealership and wanted to know what the catch was | The car salesman said, no problem, just put $5000 down on the new one | We laughed and left, no way were we putting that much down on a car",not a permutation of any gold story
Tim was bullied at school | ONe day he fought back | Tim beat up the bully | Tom got into serious trouble at school | He was nearly expelled,Tim was bullied at school | One day he fought back | Tim beat up the bully | Tom got into serious trouble at school | He was nearly expelled,not a permutation of any gold story
Alex was really sad that she broke up with her boyfriend | She had to move from their NY apartment to LA | In LA she met a lot of people that she had fun with | She also met a film producer who offered her work | She started working for the producer and loved her knew life,Alex was really sad that she broke up with her boyfriend | She had to move from their NY apartment to LA | In LA she met a lot of people that she had fun with | She also met a film producer who offered her work | She started working for the producer and loved her new life,not a permutation of any gold story
Kate and her sister bought crab legs | They cooked them for the family dinner | The kids were picking over the crab legs | They left a lot of crab in their shells | The kids were not be allowed to eat crab legs again,Kate and her sister bought crab legs | They cooked them for the family dinner | The kids were picking over the crab legs | They left a lot of crab in their shells | The kids were not allowed to eat crab legs again,not a permutation of any gold story
"Dan was afraid of the darkness | Specifically, he had trouble of walking home at night | Dan seeked help from a therapist | The therapist advised him on how to beat his fear | Dan beat his fear and was able to face the darkness without trouble",Dan was afraid of the darkness | Dan had trouble of walking home at night | Dan seeked help from a therapist | The therapist advised him on how to beat his fear | Dan beat his fear and was able to face the darkness without trouble,not a permutation of any gold story
"This past weekend, I went to a friend's wedding | The wedding was held on a Saturday and I traveled to it on Thursday | The rehearsal dinner before the wedding was fun and delicious | During the ceremony the next day, the bride and groom looked amazing | I wish them both a lifetime of happiness","I traveled to it on Thursday | The rehearsal dinner before the wedding was fun and delicious | During the ceremony the next day, the bride and groom looked amazing | This past weekend, I went to a friend's wedding | I wish them both a lifetime of happiness",not a permutation of any gold story
"I decided to move to a farm to become a farmer | I would work in the sun for ten hours a day | Eventually, I developed an extreme tan | Alas, the tan was only on my forearms and head | When I was shirtless it looked silly so I cried","I decided to move to a farm to become a farmer | I would work in the sun for ten hours a day | I developed an extreme tan | Alas, the tan was only on my forearms and head | When I was shirtless it looked silly so I cried",not a permutation of any gold story
Kevin loved playing soccer and was on a team | His team was set to have a game today | Kevin was feeling extra nervous about this | Luckily his nerves did not affect his performance | Kevin's team eventually won,Kevin loved playing soccer and was on a team | Kevin's team was set to have a game today | Kevin was feeling extra nervous about this | Luckily his nerves did not affect his performance | Kevin's team eventually won,not a permutation of any gold story
"Lucy and Gina were at the pool | Lucy wasn't a very strong swimmer | She was in over her head and panicked | After a struggle she was able to swim to the edge of the pool | She nearly drowned, but she decided to continue swimming","Lucy and Gina were at the pool | She was in over her head and panicked | She nearly drowned, but she decided to continue swimming | After a struggle she was able to swim to the edge of the pool",wrong sentence count
Sam was arguing with Tim | They argued all day | It was over which color was the best | They realized that the argument was stupid | The made up and hugged,Sam was arguing with Tim | It was over which color was the best | They argued all day | They realized that the argument was stupid | They made up and hugged,not a permutation of any gold story
Amy needed more hours at work | She called a job that she was offered before | They told her the job was no longer available | When they were hiring Amy applied again and waited to hear back | To her dismay she was never called for an interview,Amy needed more hours at work | Amy applied again and waited to hear back | They told her the job was no longer available | She called a job that she was offered before | To her dismay she was never called for an interview,not a permutation of any gold story
Joe was a terrible dancer and his wife was good at it | Joe wanted to dance with her | So Joe to dancing lessons | He worked hard everyday to get better at dancing | One day he showed his wife his new dance moves,Joe was a terrible dancer and his wife was good at it | Joe wanted to dance with her | So Joe took dancing lessons | He worked hard everyday to get better at dancing | One day he showed his wife his new dance moves,not a permutation of any gold story
Britney's dad wanted her to not wear make up | He would make sure she had none on before leaving the house | Brittney would keep her makeup in her purse | When she would leave the house she would put on makeup | Brittney felt like she was smarter than her dad,Brittney's dad wanted her to not wear make up | He would make sure she had none on before leaving the house | Brittney would keep her makeup in her purse | Brittney felt like she was smarter than her dad | When she would leave the house she would put on makeup,not a permutation of any gold story
Sally was not well liked at school | She would always walk around with a sour face | One day someone asked her was was she always so gloomy | She responded that she wasn't and her face was just like that | Word spread and Sally gained many new friends after that,Sally was not well liked at school | She would always walk around with a sour face | One day someone asked her was she always so gloomy | She responded that she wasn't and her face was just like that | Word spread and Sally gained many new friends after that,not a permutation of any gold story
Tina had to go on a family trip to Montana | She was not excited about it | Actually it made it frustrated | She thought there would be nothing to do there | Yest thankfully she ended up liking it a lot,Tina had to go on a family trip to Montana | She thought there would be nothing to do there | She was not excited about it | Actually it made her frustrated | Yest thankfully she ended up liking it a lot,not a permutation of any gold story
Erin had a big test of Friday | She put off studying all week long | She stayed up all night Thursday trying to cram for the test | She went to take the test knowing everything she needed to know | She fell asleep during the test and failed anyway,She put off studying all week long | She stayed up all night Thursday trying to cram for the test | Erin had a big test on Friday | She went to take the test knowing everything she needed to know | She fell asleep during the test and failed anyway,not a permutation of any gold story
"John woke up realizing he was late for work already | He raced in between traffic at dangerous speeds | About halfway to his work, John rear-ended another driver | Frustrated, John stormed out of his car | When he got the other driver, he saw it was his boss staring at him","John woke up realizing he was late for work already | He raced in between traffic at dangerous speeds | About halfway to his work, John rear-ended another driver | When he got to see the other driver, he saw it was his boss staring at him | Frustrated, John stormed out of his car",not a permutation of any gold story
Brad lived in an apartment for a year and gor internet for free | He would use his neighbor's wifi so he never had to pay | He just moved into a house on his own | He noticed he now will have to pay for his own internet | Brad didn't known how good he had it,Brad lived in an apartment for a year and got internet for free | He would use his neighbor's wifi so he never had to pay | He just moved into a house on his own | He noticed he now will have to pay for his own internet | Brad didn't know how good he had it,not a permutation of any gold story
Doug joined a bowling tournament for fun with friends | He soon realized he was the worst bowler on the team | He didn't want to hold the team back so he took private lessons | Between the tournament and the lessons Doug was bowling every day | Within a few weeks Doug became the nest on the team,Doug joined a bowling tournament for fun with friends | He soon realized he was the worst bowler on the team | He didn't want to hold the team back so he took private lessons | Between the tournament and the lessons Doug was bowling every day | Within a few weeks Doug became the best on the team,not a permutation of any gold story
Richard was driving to work | He wanted to buy a cup of coffee | He pulled into a Starbucks | Richard got out of his car | He went into the Starbucks,Richard was driving to work | He pulled into a Starbucks | He got out of his car | He went into the Starbucks | He wanted to buy a cup of coffee,not a permutation of any gold story
"Chuck was known as the family bum | Portia thought Chuck wouldn't see her graduation or give her a gift | But, on graduation day, Chuck drove to Portia's ceremony | He gave Portia an envelope with three hundred dollars in it | Next, Chuck reminded Portia the he graduated college too","Chuck was known as the family bum | Portia thought Chuck wouldn't see her graduation or give her a gift | But, on graduation day, Chuck drove to Portia's ceremony | He gave Portia an envelope with three hundred dollars in it | Next, Chuck reminded Portia that he graduated college too",not a permutation of any gold story
"John was excited | He was going to the beach tomorrow | The next morning, when he woke up, he saw that it was raining | John was not able to go to the beach | John was very sad about this","John was excited | John was going to the beach tomorrow | The next morning, when he woke up, he saw that it was raining | John was not able to go to the beach | John was very sad about this",not a permutation of any gold story
Guillermo really needed money | He obtained a knife | He then threatened a man for his money | The man complied fearing for his life | And Guillermo got a lot of money for it,Guillermo really needed money | He then threatened a man for his life | He obtained a knife | The man complied fearing for his life | And Guillermo got a lot of money for it,not a permutation of any gold story
"Yesterday after class I took a nice nap | I really needed it too, because I was so tired | I'm really glad I took the nap because it refreshed me | I was refreshed enough to go play basketball afterwards | I think I'll take a nap tomorrow too","Yesterday after class I took a nice nap | I was so tired | I really needed it too, because I was so tired | I'm really glad I took the nap because it refreshed me | I was refreshed enough to go play basketball afterwards | I think I'll take a nap tomorrow too",wrong sentence count
"Lisa built a fence around her house | SHe installed a gate with a motion detector | When Lisa pulled up to it, a sensor would open the gate | She was thrilled with the new feature | Lisa felt very secure behind the gate","Lisa built a fence around her house | She installed a gate with a motion detector | When Lisa pulled up to it, a sensor would open the gate | Lisa felt very secure behind the gate | She was thrilled with the new feature",not a permutation of any gold story
Betty was a middle aged stay at home mom | She was out one day running a few errands for the house | She decided to pick up a lottery ticket | She went back home and forgot about the ticket | Betty watched the drawing and couldn't believe her eyes when Won!,She was out one day running a few errands for the house | She decided to pick up a lottery ticket | She went back home and forgot about the ticket | Betty watched the drawing and couldn't believe her eyes when Won!,wrong sentence count
I said hi to a small girl who's waiting in line | She looked at me with a mean grin | She also kicked me in the face | I fell on my shopping card | All of the supplies can out of the cart,I said hi to a small girl who's waiting in line | I fell on my shopping card | All of the supplies came out of the cart | She looked at me with a mean grin | She also kicked me in the face,not a permutation of any gold story
Janice realizes her toenails have grown long and dirty | She decides to clip them short | Janice spends the afternoon clipper her toenails | She is glad that they are short now | Janice is proud not to have long dirty toenails,Janice realizes her toenails have grown long and dirty | Janice spends the afternoon clipping her toenails | She decides to clip them short | She is glad that they are short now | Janice is proud not to have long dirty toenails,not a permutation of any gold story
Martin didn't like doing his homework | One day he decided to pay Will to do his homework for him | Martin enjoyed not having to do his homework | It didn't take long for Martin's bad decision to catch up with him | When test time came Martin had no know of the material and failed,Martin didn't like doing his homework | One day he decided to pay Will to do his homework for him | Martin enjoyed not having to do his homework | When test time came Martin had no knowledge of the material and failed | It didn't take long for Martin's bad decision to catch up with him,not a permutation of any gold story
"Stan decides he would like to volunteer his time | He begins serving food at his local soup kitchen | At first Stan finds the experience uncomfortable | However, eventually he beings to love it | Stan is glad that he has become a volunteer","Stan decides he would like to volunteer his time | At first Stan finds the experience uncomfortable | He begins serving food at his local soup kitchen | However, eventually he begins to love it | Stan is glad that he has become a volunteer",not a permutation of any gold story
Lars was on a boat in the Philippines | He saw a dugong | He jumped off the boat and swam up to it | It was very timid and swam away | Lars never saw a dugong again,Lars was on a boat in the Philippines | He saw a dugong | It was very timid and swam away | Lars jumped off the boat and swam up to it | Lars never saw a dugong again,not a permutation of any gold story
Ryan had forgotten his math assignment at home | He quickly called his mom | He asked her to bring the assignment to school | Ryan's mom drove back to school with the assignment | Ryan was able to give the assignment to his teacher,Ryan had forgotten his math assignment at home | He quickly called his mom | His mom drove back to school with the assignment | He asked her to bring the assignment to school | Ryan was able to give the assignment to his teacher,not a permutation of any gold story
John's daughter Allie was four | Allie told John to shut up | John was shocked by this | He asked Allie where she heard the phrase | Allie said she heard John say it while he was on the phone!,John's daughter Allie was four | Allie heard John say it while he was on the phone | Allie told John to shut up | John was shocked by this | He asked Allie where she heard the phrase,not a permutation of any gold story
"Jill saw a beautiful butterfly in the grille of her dad's car | She carefully removed the butterfly and pasted it to a card | Jill gave the card to a teacher that she especially admired | When the teacher saw the dead butterfly, she dropped the card | Jill brought the card home and kept it in a box of treasures","Jill saw a beautiful butterfly in the grille of her dad's car | Jill carefully removed the butterfly and pasted it to a card | Jill gave the card to a teacher that she especially admired | When the teacher saw the dead butterfly, she dropped the card | Jill brought the card home and kept it in a box of treasures",not a permutation of any gold story
The company reduced its emissions | Their was a cost associated | Two board members requested a report | The report said they would make the money back | The report suggested carbon credits to do this,Two board members requested a report | The report suggested carbon credits to do this | The report said they would make the money back | There was a cost associated | The company reduced its emissions,not a permutation of any gold story
"The Smith family decided to vacation on the Texas coast | They loaded their car with food and beach toys for the trip | Once the arrived in the little town, they were in a very bad wreck | No one was hurt, but their truck, food and toys were destroyed | Luckily, they made it to the beach the next week and had fun","The Smith family decided to vacation on the Texas coast | They loaded their car with food and beach toys for the trip | Once they arrived in the little town, they were in a very bad wreck | No one was hurt, but their truck, food and toys were destroyed | Luckily, they made it to the beach the next week and had fun",not a permutation of any gold story
"Molly was due to play a duet for her piano recital | She hadn't learned the music well enough to be ready | Molly's best friend, Mary, knew that Molly wasn't really ready | During the performance, Mary covered Molly's bad notes | Molly was so thankful and relieved to have a good friend","Molly wasn't really ready | Molly was due to play a duet for her piano recital | She hadn't learned the music well enough to be ready | During the performance, Mary covered Molly's bad notes | Molly was so thankful and relieved to have a good friend",not a permutation of any gold story
"Bob had a lot to drink one night | Against all better judgement, he made his way to his car | He drove too fast and struggled just to keep the car straight | He came to a red light, but didn't notice | Bob and the other driver in the intersection died on impact","Bob had a lot to drink one night | Against all judgement, he made his way to his car | He came to a red light, but didn't notice | He drove too fast and struggled just to keep the car straight | Bob and the other driver in the intersection died on impact",not a permutation of any gold story
"Ben was sick of reading fan fiction romance | He realized he wanted to experience the real thing | He went to online dating sites | He even to Craigslist to find a relationship | Finally, he acquired a date and began to experience the real thing","Ben was sick of reading fan fiction romance | He realized he wanted to experience the real thing | He went to online dating sites | He even went to Craigslist to find a relationship | Finally, he acquired a date and began to experience the real thing",not a permutation of any gold story
"I was trying to talk to my bad about a homework assignment | He tried to ignore me since he was frustrated from work | I felt bad and apologized to him for being annoying | Instead of forgiving me, he became more furious | He literally kicked me out of his room and closed the door","I was trying to talk to my dad about a homework assignment | He tried to ignore me since he was frustrated from work | He literally kicked me out of his room and closed the door | I felt bad and apologized to him for being annoying | Instead of forgiving me, he became more furious",not a permutation of any gold story
"Charles hated his cousin's landlord who got angry over twenty dollars | But Charles picked up a landlord who did the same thing | Last month he paid his rent twenty dollars short | The landlord complained, even the the twenty paid for his Internet | So the landlord shut off the Internet until Charles paid his twenty","Last month he paid his rent twenty dollars short | The landlord complained, even though the twenty paid for his Internet | Charles hated his cousin's landlord who got angry over twenty dollars | So the landlord shut off the Internet until Charles paid his twenty | But Charles picked up a landlord who did the same thing",not a permutation of any gold story
A man went through his house and collected all his scrap paper | He took it to his garage and made a pile | He made a pasted and began to create a canoe with the paper | Once it dried he gave it a waterproof finish | He took his new canoe to the lake and paddled around,A man went through his house and collected all his scrap paper | He made a paste and began to create a canoe with the paper | Once it dried he gave it a waterproof finish | He took it to his garage and made a pile | He took his new canoe to the lake and paddled around,not a permutation of any gold story
"The detective was investigating a theft at the grocery store | SOmeone had snuck in and stolen a case of expensive wine | He looked at the surveillance tapes | He recognized the man in the tapes | It was his partner, John!","Someone had snuck in and stolen a case of expensive wine | The detective was investigating a theft at the grocery store | He looked at the surveillance tapes | He recognized the man in the tapes | It was his partner, John!",not a permutation of any gold story
"Corey feels very heartbroken today | In an effort to feel better, he built a blanket fort | He had to gather all of the blankets in his house | Corey does not regret his decision | His blanket fort is awesome","Corey had to gather all of the blankets in his house | In an effort to feel better, he built a blanket fort | His blanket fort is awesome | Corey feels very heartbroken today | Corey does not regret his decision",not a permutation of any gold story
I needed a basket for my clothes | I found one with more clothes inside | I folded the clothes in that basket | I took it to the dryer | I put my clothes in the basket,"I needed a basket for my clothes | I found one with more clothes inside | I took it to the dryer is incorrect sentence in given sequence,  I put my clothes in the basket | I folded the clothes in that basket | I took it to the dryer",not a permutation of any gold story
Eli had gotten head lice from a friend | His friend thought it was funny and laughed at him | Eli did not find humor in the situation | He tried everything to get rid of the lice | Eli now hates his friend for giving him lice,Eli had gotten head lice from a friend | Eli tried everything to get rid of the lice | His friend thought it was funny and laughed at him | Eli did not find humor in the situation | Eli now hates his friend for giving him lice,not a permutation of any gold story
Carlos couldn't find his keys | He backtracked to everywhere he'd been in the previous two hours | He searched everywhere | Carlos finally gave up | He found his keys in his jacket pocket,Carlos couldn't find his keys | He searched everywhere | He backtracked to everywhere he'd been in the previous two hours | He finally gave up | He found his keys in his jacket pocket,not a permutation of any gold story
Frank loved living on the farm | His sheep had a new baby lamb | He loved to bottle feed it and pet it | The lamb grew to an adult sheep | Frank kept it on the farm once if was fully grown,Frank loved living on the farm | His sheep had a new baby lamb | He loved to bottle feed it and pet it | The lamb grew to an adult sheep | Frank kept it on the farm once it was fully grown,not a permutation of any gold story
The Army was running a drill | They drove a tank through town | THe townspeople were all nervous | They hoped this didn't mean something scary would happen | They stayed in their homes and hid,The Army was running a drill | They drove a tank through town | The townspeople were all nervous | They hoped this didn't mean something scary would happen | They stayed in their homes and hid,not a permutation of any gold story
"I was visiting my daughter at Boston College one weekend | I am Chinese | A BC employe was picking up Chinese restaurant flyers | He asked me if I was distributing the flyers | I told him I was visiting my daughter, and he apologized","I am Chinese | I was visiting my daughter at Boston College one weekend | A BC employee was picking up Chinese restaurant flyers | He asked me if I was distributing the flyers | I told him I was visiting my daughter, and he apologized",not a permutation of any gold story
"Ned's mom and dad took in a foster son | Ned was angry at first | He thought that the new kid would take attention away from him | But gradually, he and the foster boy began to get along | Soon enough, Ned's foster brother had become his best friend!","Ned was angry at first | Ned's mom and dad took in a foster son | He thought that the new kid would take attention away from him | But gradually, he and the foster boy began to get along | Soon enough, Ned's foster brother had become his best friend",not a permutation of any gold story
"Esther took her grandchildren to the mall to shop for their parents | She gave each of the children $20 to get something for mom, and dad | The oldest asked her for $20 more | Later the oldest told Esther the Ester was to get a gift for her | Esther was moved by her granddaughters kindness","Esther took her grandchildren to the mall to shop for their parents | She gave each of the children $20 to get something for mom, and dad | The oldest asked her for $20 more | Later the oldest told Esther that she was to get a gift for her | Esther was moved by her granddaughter's kindness",not a permutation of any gold story
Christine went to the beach in the morning | She wanted to swim | She saw a kid playing too far from the beach in the sea | The big wave came | Christine jumped into the sea to save the life of kid,She wanted to swim | Christine went to the beach in the morning | Christine saw a kid playing too far from the beach in the sea | The big wave came | Christine jumped into the sea to save the life of kid,not a permutation of any gold story
Justin was playing basketball at the park | He was suddenly distracted by a loud yell | A couple nearby was fighting loudly over something | Justin felt uncomfortable playing | He decided to leave and give the couple some privacy,Justin was playing basketball at the park | He felt uncomfortable playing | A couple nearby was fighting loudly over something | He was suddenly distracted by a loud yell | He decided to leave and give the couple some privacy,not a permutation of any gold story
Michelle's parent went out of town | She invited a lot of kids to school to come to her house for a party | The party was a lot of fun | Michelle's house suffered some damage | Michelle got in a lot of trouble when her parents returned,Michelle's parent went out of town | Michelle invited a lot of kids to school to come to her house for a party | The party was a lot of fun | Michelle's house suffered some damage | Michelle got in a lot of trouble when her parents returned,not a permutation of any gold story
"Kylie was excited to go to her monthly diet club meeting | She had exercised and eaten healthy all month | At the meeting, she eagerly waited her turn to be weighed | She stepped up to the scale 29th a smile on her face | Kylie found out that she had lost eleven pounds that month!","She had exercised and eaten healthy all month | Kylie was excited to go to her monthly diet club meeting | At the meeting, she eagerly waited her turn to be weighed | She stepped up to the scale with a smile on her face | Kylie found out that she had lost eleven pounds that month!",not a permutation of any gold story
Ken sent his girlfriend to buy beer | He was specific about what he wanted | Ken's girlfriend returned with the wrong beer | Ken was upset | He went to returned it and get the right one,Ken sent his girlfriend to buy beer | He was specific about what he wanted | Ken's girlfriend returned with the wrong beer | Ken was upset | He went to return it and get the right one,not a permutation of any gold story
Tom was desperate for work | His uncle offered him a job doing construction work | Tom agreed reluctantly | The uncle rand a terrible business and underpaid him severely | Tom quit within a month after getting paid almost nothing,Tom was desperate for work | His uncle offered him a job doing construction work | Tom agreed reluctantly | The uncle ran a terrible business and underpaid him severely | Tom quit within a month after getting paid almost nothing,not a permutation of any gold story
Tim is an amateur astronomer | He bought a decent telescope | He loves spending time exploring space | He found a rare area that was yet discovered befor | It was a new planet he got to name,Tim is an amateur astronomer | He loves spending time exploring space | He bought a decent telescope | He found a rare area that was yet discovered before | It was a new planet he got to name,not a permutation of any gold story
Jordan was having a perfectly pleasant day at the beach | He was enjoying a chocolate ice cream cone | Then all of the sudden a seagull flew towards Jordan out of nowhere | The seagull grabbed Jordan's ice cream cone right out of his hand | The seagull incident really but a damper on Jordan's beach day,Jordan was having a perfectly pleasant day at the beach | He was enjoying a chocolate ice cream cone | Then all of the sudden a seagull flew towards Jordan out of nowhere | The seagull grabbed Jordan's ice cream cone right out of his hand | The seagull incident really put a damper on Jordan's beach day,not a permutation of any gold story
"David was walking home from school | And he passed by a car that was turned on with no on inside | He had a sudden impulse to steal the car | But at the last second, he decided not to | David ran away after seeing the owner exit his house","David was walking home from school | And he passed by a car that was turned on with no one inside | He had a sudden impulse to steal the car | But at the last second, he decided not to | David ran away after seeing the owner exit his house",not a permutation of any gold story
Nick has writer's block | He tries several ideas for a story | He finally likes an idea | He writes his idea | Nick is pleased with his results,He has writer's block | He tries several ideas for a story | He writes his idea | He finally likes an idea | Nick is pleased with his results,not a permutation of any gold story
My grandma loves sewing | She knows every stitch there is to know | I wanted her to exercise here knowledge a bit more | I decided to get her a book and video on cross stitching | For the last 2 weeks she has done nothing but that,My grandma loves sewing | She knows every stitch there is to know | I wanted her to exercise her knowledge a bit more | I decided to get her a book and video on cross stitching | For the last 2 weeks she has done nothing but that,not a permutation of any gold story
"I was getting fat | My doctor told me I needed to exercise | I decided to run the boston marathon | I trained for nine months | Eventually, I ran the marathon and I had lost lots of weight","I was getting fat | My doctor told me I needed to exercise | I decided to run the Boston marathon | I trained for nine months | Eventually, I ran the marathon and I had lost lots of weight",not a permutation of any gold story
